translator_id,book_id
53,1
33,2
56,3
29,4
3,5
12,6
55,7
18,8
42,9
4,10
57,11
52,12
37,13
68,14
60,15
20,15
8,16
73,17
28,18
43,19
38,20
17,21
16,22
66,23
15,24
35,25
8,26
46,27
1,28
52,29
32,30
5,31
41,32
14,32
64,33
25,34
21,35
48,36
47,37
26,38
74,39
27,40
31,40
49,41
13,42
59,42
71,44
16,45
58,46
69,47
36,47
68,48
48,49
44,50
68,50
50,51
65,52
70,53
45,54
9,55
62,56
40,57
24,58
7,58
48,59
61,60
22,61
34,62
68,63
6,64
2,65
40,66
72,67
10,68
62,69
51,70
67,71
29,72
19,73
23,74
54,75
30,75
39,75
29,76
63,77
11,77
35,78
